  Lines           Copies        Function name
     2502 (0.2%)      6 (0.0%)  tokio::runtime::scheduler::current_thread::CoreGuard::block_on::{{closure}}
     2499 (0.2%)     17 (0.1%)  alloc::boxed::Box<T,A>::try_new_uninit_in
     2496 (0.2%)     64 (0.2%)  tokio::runtime::task::core::Core<T,S>::set_stage::{{closure}}
     2478 (0.2%)      7 (0.0%)  core::slice::sort::merge_sort
     2436 (0.2%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::try_read_output
     2430 (0.2%)     12 (0.0%)  <T as alloc::slice::hack::ConvertVec>::to_vec
     2416 (0.2%)     39 (0.1%)  tokio::runtime::coop::with_budget
     2400 (0.2%)     99 (0.3%)  serde::ser::impls::<impl serde::ser::Serialize for core::option::Option<T>>::serialize
     2382 (0.2%)     12 (0.0%)  <serde_json::de::MapAccess<R> as serde::de::MapAccess>::next_key_seed
     2348 (0.2%)      2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_write
     2337 (0.2%)      3 (0.0%)  scylla::transport::connection::Connection::execute_with_consistency::{{closure}}
     2304 (0.2%)     96 (0.3%)  serde::ser::Serializer::collect_seq::{{closure}}
     2272 (0.2%)     23 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Immut,K,V,NodeType>,alloc::collections::btree::node::marker::KV>::into_kv
     2236 (0.2%)    172 (0.6%)  core::ptr::non_null::NonNull<T>::cast
     2178 (0.2%)      3 (0.0%)  scylla::transport::speculative_execution::execute::{{closure}}
     2152 (0.2%)     35 (0.1%)  <alloc::sync::Arc<T,A> as core::clone::Clone>::clone
     2112 (0.2%)     28 (0.1%)  <toml_edit::de::array::ArraySeqAccess as serde::de::SeqAccess>::next_element_seed
     2090 (0.2%)    244 (0.8%)  <core::marker::PhantomData<T> as serde::de::DeserializeSeed>::deserialize
     2079 (0.2%)    134 (0.4%)  core::iter::traits::iterator::Iterator::try_for_each::call::{{closure}}
     2072 (0.2%)     28 (0.1%)  <serde_json::ser::Compound<W,F> as serde::ser::SerializeSeq>::serialize_element
     2068 (0.2%)     44 (0.1%)  <&mut bincode::ser::SizeChecker<O> as serde::ser::Serializer>::serialize_newtype_variant
     2058 (0.2%)      2 (0.0%)  <stract_core::ranking::signal::_::<impl serde::de::Deserialize for stract_core::ranking::signal::Signal>::deserialize::__Visitor as serde::de::Visitor>::visit_enum
     2054 (0.2%)     13 (0.0%)  alloc::vec::in_place_collect::<impl alloc::vec::spec_from_iter::SpecFromIter<T,I> for alloc::vec::Vec<T>>::from_iter
     2044 (0.2%)      4 (0.0%)  sonic::Server<Req,Res>::accept::{{closure}}
     2043 (0.2%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::WebgraphConstructConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     2009 (0.2%)      9 (0.0%)  sonic::service::ResilientConnection<S>::send_with_timeout::{{closure}}
     1987 (0.1%)     24 (0.1%)  alloc::vec::Vec<T,A>::push
     1971 (0.1%)     50 (0.2%)  serde::de::Visitor::visit_string
     1967 (0.1%)      1 (0.0%)  stract_core::api::router::{{closure}}
     1944 (0.1%)      1 (0.0%)  hyper::proto::h2::server::H2Stream<F,B>::poll2
     1928 (0.1%)      2 (0.0%)  scylla::transport::topology::MetadataReader::retry_fetch_metadata_on_nodes::{{closure}}
     1918 (0.1%)     28 (0.1%)  alloc::slice::stable_sort::{{closure}}
     1887 (0.1%)     37 (0.1%)  <alloc::sync::Arc<T,A> as core::ops::drop::Drop>::drop
     1872 (0.1%)     24 (0.1%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::size_hint
     1850 (0.1%)     25 (0.1%)  hashbrown::raw::RawTableInner<A>::bucket
     1840 (0.1%)     23 (0.1%)  <alloc::vec::into_iter::IntoIter<T,A> as core::iter::traits::iterator::Iterator>::size_hint
     1820 (0.1%)     10 (0.0%)  futures_util::stream::futures_unordered::FuturesUnordered<Fut>::unlink
     1817 (0.1%)     10 (0.0%)  futures_util::stream::futures_unordered::FuturesUnordered<Fut>::new
     1811 (0.1%)      2 (0.0%)  scylla::transport::session::Session::execute_paged::{{closure}}
     1804 (0.1%)     46 (0.1%)  core::result::Result<T,E>::unwrap
     1800 (0.1%)     10 (0.0%)  futures_util::stream::futures_unordered::FuturesUnordered<Fut>::link
     1788 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::cancel_task
     1779 (0.1%)      4 (0.0%)  alloc::collections::binary_heap::BinaryHeap<T,A>::sift_down_range
     1771 (0.1%)      5 (0.0%)  <axum::json::Json<T> as axum_core::extract::FromRequest<S,B>>::from_request::{{closure}}
     1760 (0.1%)     88 (0.3%)  alloc::boxed::Box<T>::from_raw
     1759 (0.1%)      1 (0.0%)  scylla::transport::topology::MetadataReader::read_metadata::{{closure}}
     1746 (0.1%)     57 (0.2%)  core::iter::traits::iterator::Iterator::for_each
     1728 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::poll
     1722 (0.1%)     12 (0.0%)  tokio::runtime::park::CachedParkThread::block_on
     1708 (0.1%)     14 (0.0%)  <toml_edit::de::spanned::SpannedDeserializer<T> as serde::de::MapAccess>::next_key_seed
     1698 (0.1%)      9 (0.0%)  scylla::transport::session::Session::run_query::{{closure}}::{{closure}}
     1691 (0.1%)     19 (0.1%)  <serde::de::impls::<impl serde::de::Deserialize for alloc::vec::Vec<T>>::deserialize::VecVisitor<T> as serde::de::Visitor>::visit_seq
     1689 (0.1%)      5 (0.0%)  axum::routing::method_routing::MethodRouter<S,B,E>::layer
     1686 (0.1%)      3 (0.0%)  scylla::transport::connection::Connection::query_with_consistency::{{closure}}
     1679 (0.1%)     22 (0.1%)  <hashbrown::map::HashMap<K,V,S,A> as core::iter::traits::collect::Extend<(K,V)>>::extend
     1668 (0.1%)     12 (0.0%)  tokio::runtime::scheduler::current_thread::Context::enter
     1648 (0.1%)      2 (0.0%)  sonic::Connection<Req,Res>::send_without_timeout::{{closure}}
     1635 (0.1%)     30 (0.1%)  tokio::runtime::context::current::with_current::{{closure}}
     1625 (0.1%)     25 (0.1%)  <toml_edit::de::datetime::DatetimeDeserializer as serde::de::MapAccess>::next_value_seed
     1620 (0.1%)     36 (0.1%)  serde::ser::iterator_len_hint
     1617 (0.1%)      7 (0.0%)  core::slice::sort::find_streak
     1600 (0.1%)     64 (0.2%)  tokio::runtime::task::raw::try_read_output
     1596 (0.1%)    133 (0.4%)  core::iter::traits::iterator::Iterator::try_for_each
     1590 (0.1%)      1 (0.0%)  stract_core::entrypoint::api::run::{{closure}}
     1577 (0.1%)     10 (0.0%)  futures_util::stream::futures_unordered::FuturesUnordered<Fut>::release_task
     1575 (0.1%)     25 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve
     1568 (0.1%)      4 (0.0%)  sonic::Request<Req,Res>::respond_without_timeout::{{closure}}
     1567 (0.1%)      9 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_str
     1567 (0.1%)      5 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_seq
     1561 (0.1%)      1 (0.0%)  <stract::Commands as clap_builder::derive::Subcommand>::augment_subcommands
     1560 (0.1%)     10 (0.0%)  alloc::sync::Arc<T,A>::downgrade
     1560 (0.1%)     10 (0.0%)  futures_util::stream::futures_unordered::ready_to_run_queue::ReadyToRunQueue<Fut>::dequeue
     1536 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::complete::{{closure}}
     1530 (0.1%)     30 (0.1%)  tokio::runtime::context::current::with_current
     1526 (0.1%)     19 (0.1%)  <axum::handler::service::HandlerService<H,T,S,B> as tower_service::Service<http::request::Request<B>>>::call
     1521 (0.1%)     39 (0.1%)  tokio::runtime::coop::with_budget::{{closure}}
     1516 (0.1%)      2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_read_head
     1512 (0.1%)      9 (0.0%)  <axum::json::Json<T> as axum_core::response::into_response::IntoResponse>::into_response
     1508 (0.1%)     26 (0.1%)  alloc::collections::btree::node::Handle<alloc::collections::btree::node::NodeRef<BorrowType,K,V,NodeType>,alloc::collections::btree::node::marker::Edge>::right_kv
     1495 (0.1%)     23 (0.1%)  <<alloc::vec::into_iter::IntoIter<T,A> as core::ops::drop::Drop>::drop::DropGuard<T,A> as core::ops::drop::Drop>::drop
     1472 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::drop_join_handle_slow
     1464 (0.1%)      2 (0.0%)  hyper::proto::h1::dispatch::Dispatcher<D,Bs,I,T>::poll_read
     1440 (0.1%)     13 (0.0%)  <&mut bincode::de::Deserializer<R,O> as serde::de::Deserializer>::deserialize_enum::<impl serde::de::EnumAccess for &mut bincode::de::Deserializer<R,O>>::variant_seed
     1438 (0.1%)      1 (0.0%)  chitchat::server::Server::gossip_multiple::{{closure}}
     1435 (0.1%)      1 (0.0%)  stract_core::crawler::worker::WorkerThread::process_url::{{closure}}
     1429 (0.1%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::SnippetConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     1425 (0.1%)     25 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash::{{closure}}
     1425 (0.1%)      7 (0.0%)  core::slice::sort::insert_tail
     1419 (0.1%)     11 (0.0%)  alloc::sync::Arc<T>::from_raw
     1415 (0.1%)     15 (0.0%)  <core::iter::adapters::enumerate::Enumerate<I> as core::iter::traits::iterator::Iterator>::next
     1415 (0.1%)      2 (0.0%)  utoipa::openapi::schema::_::<impl serde::ser::Serialize for utoipa::openapi::schema::Array>::serialize
     1409 (0.1%)      2 (0.0%)  distributed::cluster::Cluster::join::{{closure}}::{{closure}}
     1389 (0.1%)     13 (0.0%)  <I as alloc::vec::in_place_collect::SpecInPlaceCollect<T,I>>::collect_in_place
     1386 (0.1%)    100 (0.3%)  core::iter::traits::iterator::Iterator::map
     1372 (0.1%)     41 (0.1%)  serde::de::Visitor::visit_map
     1365 (0.1%)     35 (0.1%)  alloc::raw_vec::RawVec<T,A>::set_ptr_and_cap
     1360 (0.1%)      1 (0.0%)  stract_core::crawler::worker::WorkerThread::process_job::{{closure}}
     1356 (0.1%)     49 (0.2%)  <core::pin::Pin<P> as core::future::future::Future>::poll
     1355 (0.1%)      8 (0.0%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,alloc::collections::btree::node::marker::Internal>::push
     1338 (0.1%)     40 (0.1%)  <core::iter::adapters::map::Map<I,F> as core::iter::traits::iterator::Iterator>::next
     1320 (0.1%)      1 (0.0%)  stract::main
     1318 (0.1%)     13 (0.0%)  <futures_util::future::future::map::Map<Fut,F> as core::future::future::Future>::poll
     1315 (0.1%)      5 (0.0%)  alloc::raw_vec::RawVec<T,A>::shrink
     1295 (0.1%)     37 (0.1%)  serde::ser::Serializer::collect_map::{{closure}}
     1287 (0.1%)     13 (0.0%)  futures_util::future::future::map::_::<impl futures_util::future::future::map::Map<Fut,F>>::project_replace
     1279 (0.1%)     37 (0.1%)  <toml_edit::de::array::ArrayDeserializer as serde::de::Deserializer>::deserialize_any
     1273 (0.1%)      1 (0.0%)  scylla::transport::cluster::ClusterWorker::work::{{closure}}
     1266 (0.1%)     27 (0.1%)  <alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop
     1258 (0.1%)     31 (0.1%)  <tower::util::map_response::MapResponse<S,F> as tower_service::Service<Request>>::call
     1258 (0.1%)     17 (0.1%)  hashbrown::raw::RawTable<T,A>::bucket
     1245 (0.1%)     13 (0.0%)  serde::ser::impls::<impl serde::ser::Serialize for (T0,T1)>::serialize
     1244 (0.1%)      1 (0.0%)  <h2::server::Handshake<T,B> as core::future::future::Future>::poll
     1232 (0.1%)     32 (0.1%)  alloc::vec::Vec<T,A>::extend_trusted::{{closure}}
     1224 (0.1%)     12 (0.0%)  <core::slice::iter::Iter<T> as core::iter::traits::iterator::Iterator>::next
     1222 (0.1%)     29 (0.1%)  <&mut bincode::de::Deserializer<R,O> as serde::de::Deserializer>::deserialize_struct
     1222 (0.1%)     13 (0.0%)  core::sync::atomic::atomic_load
     1221 (0.1%)     37 (0.1%)  <toml_edit::de::value::ValueDeserializer as serde::de::Deserializer>::deserialize_any::{{closure}}
     1218 (0.1%)     18 (0.1%)  hyper::proto::h2::server::Serving<T,B>::poll_server::{{closure}}
     1218 (0.1%)     15 (0.0%)  <tokio::time::timeout::Timeout<T> as core::future::future::Future>::poll
     1215 (0.1%)    135 (0.4%)  serde::ser::impls::<impl serde::ser::Serialize for &T>::serialize
     1206 (0.1%)     67 (0.2%)  core::fmt::rt::Argument::new_display
     1205 (0.1%)     30 (0.1%)  core::option::Option<T>::and_then
     1199 (0.1%)      1 (0.0%)  stract_core::entrypoint::webgraph_server::run::{{closure}}
     1191 (0.1%)      6 (0.0%)  <T as axum_core::extract::FromRequest<S,B,axum_core::extract::private::ViaParts>>::from_request::{{closure}}
     1183 (0.1%)      3 (0.0%)  scylla::transport::session::Session::run_query::{{closure}}
     1176 (0.1%)     12 (0.0%)  tokio::runtime::context::runtime::enter_runtime
     1170 (0.1%)     10 (0.0%)  futures_util::stream::futures_unordered::FuturesUnordered<Fut>::push
     1168 (0.1%)     37 (0.1%)  <toml_edit::de::table::TableDeserializer as serde::de::Deserializer>::deserialize_any
     1167 (0.1%)      3 (0.0%)  <stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CrawlRouterConfig>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     1140 (0.1%)      4 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_enum
     1140 (0.1%)      4 (0.0%)  sonic::Server<Req,Res>::parse_incoming_stream::{{closure}}
     1135 (0.1%)     33 (0.1%)  serde::de::Visitor::visit_str
     1132 (0.1%)     97 (0.3%)  core::pin::Pin<P>::as_mut
     1129 (0.1%)     16 (0.1%)  anyhow::context::<impl anyhow::Context<T,E> for core::result::Result<T,E>>::with_context
     1126 (0.1%)     17 (0.1%)  <toml_edit::de::datetime::DatetimeDeserializer as serde::de::MapAccess>::next_key_seed
     1120 (0.1%)     15 (0.0%)  tokio::time::timeout::timeout
     1120 (0.1%)     10 (0.0%)  alloc::sync::Weak<T,A>::upgrade
     1118 (0.1%)     13 (0.0%)  hashbrown::raw::RawTable<T,A>::iter
     1115 (0.1%)     31 (0.1%)  core::result::Result<T,E>::unwrap_or_else
     1112 (0.1%)      7 (0.0%)  bincode::internal::deserialize_seed
     1110 (0.1%)     74 (0.2%)  <bincode::ser::SizeCompound<O> as serde::ser::SerializeStruct>::serialize_field
     1105 (0.1%)    301 (1.0%)  <F as core::future::into_future::IntoFuture>::into_future
     1105 (0.1%)     13 (0.0%)  <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     1105 (0.1%)     13 (0.0%)  hashbrown::raw::RawIterRange<T>::next_impl
     1103 (0.1%)      1 (0.0%)  scylla::transport::cluster::Cluster::new::{{closure}}
     1092 (0.1%)      3 (0.0%)  stract_core::crawler::_::<impl serde::ser::Serialize for stract_core::crawler::UrlResponse>::serialize
     1090 (0.1%)      1 (0.0%)  <hyper::proto::h2::PipeToSendStream<S> as core::future::future::Future>::poll
     1089 (0.1%)      1 (0.0%)  <stract_core::api::search::_::<impl serde::de::Deserialize for stract_core::api::search::ApiSearchQuery>::deserialize::__Visitor as serde::de::Visitor>::visit_map
     1089 (0.1%)      1 (0.0%)  stract_core::crawler::worker::WorkerThread::run::{{closure}}
     1083 (0.1%)      3 (0.0%)  alloc::collections::binary_heap::BinaryHeap<T,A>::sift_down_to_bottom
     1080 (0.1%)     22 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::val_area_mut
     1078 (0.1%)     22 (0.1%)  core::pin::Pin<P>::set
     1076 (0.1%)     22 (0.1%)  alloc::collections::btree::node::NodeRef<alloc::collections::btree::node::marker::Mut,K,V,Type>::key_area_mut
     1075 (0.1%)     25 (0.1%)  hashbrown::raw::RawTable<T,A>::reserve_rehash
     1073 (0.1%)      1 (0.0%)  stract_core::entrypoint::safety_classifier::train
     1062 (0.1%)    206 (0.7%)  core::pin::Pin<&mut T>::get_unchecked_mut
     1062 (0.1%)     18 (0.1%)  hashbrown::raw::RawTable<T,A>::find_or_find_insert_slot
     1056 (0.1%)      9 (0.0%)  <serde::de::value::MapDeserializer<I,E> as serde::de::MapAccess>::next_key_seed
     1053 (0.1%)     34 (0.1%)  serde::de::Visitor::visit_bool
     1051 (0.1%)      1 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::parse
     1050 (0.1%)     75 (0.2%)  core::ops::function::FnOnce::call_once{{vtable.shim}}
     1050 (0.1%)     25 (0.1%)  <toml_edit::de::table::TableMapAccess as serde::de::MapAccess>::next_value_seed::{{closure}}
     1050 (0.1%)      6 (0.0%)  tokio::runtime::scheduler::current_thread::CoreGuard::enter
     1034 (0.1%)     22 (0.1%)  <&mut bincode::ser::Serializer<W,O> as serde::ser::Serializer>::serialize_newtype_variant
     1029 (0.1%)      3 (0.0%)  stract_core::inverted_index::_::<impl serde::ser::Serialize for stract_core::inverted_index::RetrievedWebpage>::serialize
     1026 (0.1%)     18 (0.1%)  hashbrown::raw::RawTable<T,A>::find_or_find_insert_slot::{{closure}}
     1024 (0.1%)     64 (0.2%)  tokio::runtime::task::harness::Harness<T,S>::shutdown
     1020 (0.1%)     10 (0.0%)  <serde_path_to_error::de::MapAccess<X> as serde::de::MapAccess>::next_value_seed
     1015 (0.1%)     35 (0.1%)  serde::de::Visitor::visit_f64
     1015 (0.1%)      1 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::poll_read_body
      994 (0.1%)      1 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::require_empty_read
      993 (0.1%)     81 (0.3%)  alloc::boxed::Box<T>::pin
      988 (0.1%)     19 (0.1%)  <axum::boxed::MakeErasedHandler<H,S,B> as axum::boxed::ErasedIntoRoute<S,B,core::convert::Infallible>>::call_with_state
      985 (0.1%)      8 (0.0%)  <scylla::utils::pretty::CommaSeparatedDisplayer<I> as core::fmt::Display>::fmt
