  Lines           Copies        Function name
        8 (0.0%)      2 (0.0%)  http_body::Body::is_end_stream
        8 (0.0%)      2 (0.0%)  serde::de::impls::<impl serde::de::Deserialize for u16>::deserialize
        8 (0.0%)      1 (0.0%)  <&http::method::Method as core::cmp::PartialEq<http::method::Method>>::eq
        8 (0.0%)      1 (0.0%)  <&mut bincode::ser::Serializer<W,O> as serde::ser::Serializer>::serialize_u128
        8 (0.0%)      1 (0.0%)  <T as core::convert::TryFrom<U>>::try_from
        8 (0.0%)      1 (0.0%)  <alloc::collections::vec_deque::VecDeque<T,A> as core::iter::traits::collect::Extend<T>>::extend
        8 (0.0%)      1 (0.0%)  <alloc::collections::vec_deque::iter::Iter<T> as core::iter::traits::exact_size::ExactSizeIterator>::len
        8 (0.0%)      1 (0.0%)  <alloc::string::String as core::cmp::Ord>::cmp
        8 (0.0%)      1 (0.0%)  <alloc::string::String as core::cmp::PartialOrd>::partial_cmp
        8 (0.0%)      1 (0.0%)  <alloc::string::String as core::fmt::Write>::write_char
        8 (0.0%)      1 (0.0%)  <alloc::vec::Vec<T,A> as core::iter::traits::collect::Extend<T>>::extend_reserve
        8 (0.0%)      1 (0.0%)  <arc_swap::ArcSwapAny<T,S> as core::default::Default>::default
        8 (0.0%)      1 (0.0%)  <axum::extension::Extension<T> as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <axum::middleware::from_fn::FromFn<F,S,I,(T1,T2,T3)> as tower_service::Service<http::request::Request<B>>>::poll_ready
        8 (0.0%)      1 (0.0%)  <axum::routing::strip_prefix::StripPrefix<S> as tower_service::Service<http::request::Request<B>>>::poll_ready
        8 (0.0%)      1 (0.0%)  <bincode::config::int::FixintEncoding as bincode::config::int::IntEncoding>::serialize_u128
        8 (0.0%)      1 (0.0%)  <chrono::naive::date::NaiveDate as core::cmp::PartialOrd>::partial_cmp
        8 (0.0%)      1 (0.0%)  <clap_builder::builder::value_parser::RangedU64ValueParser<T> as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <core::cmp::Reverse<T> as core::cmp::PartialOrd>::partial_cmp
        8 (0.0%)      1 (0.0%)  <core::future::pending::Pending<T> as core::future::future::Future>::poll
        8 (0.0%)      1 (0.0%)  <core::option::Option<T> as arc_swap::ref_cnt::RefCnt>::into_ptr
        8 (0.0%)      1 (0.0%)  <csv::byte_record::ByteRecord as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <csv::string_record::StringRecord as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <distributed::member::ShardId as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <hashbrown::raw::RawTable<T,A> as hashbrown::raw::RawTableClone>::clone_from_spec
        8 (0.0%)      1 (0.0%)  <http::method::Method as core::cmp::PartialEq>::eq
        8 (0.0%)      1 (0.0%)  <http::method::extension::AllocatedExtension as core::cmp::PartialEq>::eq
        8 (0.0%)      1 (0.0%)  <http::status::StatusCode as core::cmp::PartialEq>::eq
        8 (0.0%)      1 (0.0%)  <http_body::combinators::box_body::UnsyncBoxBody<D,E> as core::default::Default>::default
        8 (0.0%)      1 (0.0%)  <http_body::combinators::box_body::UnsyncBoxBody<D,E> as core::default::Default>::default::{{closure}}
        8 (0.0%)      1 (0.0%)  <hyper::proto::h2::ping::Recorder as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <optics::_::<impl serde::de::Deserialize for optics::SiteRankings>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <reqwest::async_impl::client::Client as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <scylla::routing::Token as core::cmp::Ord>::cmp
        8 (0.0%)      1 (0.0%)  <scylla::transport::execution_profile::ExecutionProfileHandle as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <serde::de::impls::<impl serde::de::Deserialize for alloc::vec::Vec<T>>::deserialize::VecVisitor<T> as serde::de::Visitor>::expecting
        8 (0.0%)      1 (0.0%)  <serde::de::impls::<impl serde::de::Deserialize for std::collections::hash::map::HashMap<K,V,S>>::deserialize::MapVisitor<K,V,S> as serde::de::Visitor>::expecting
        8 (0.0%)      1 (0.0%)  <serde::de::impls::ArrayVisitor<[T; 16]> as serde::de::Visitor>::expecting
        8 (0.0%)      1 (0.0%)  <serde::de::impls::ArrayVisitor<[T; 4]> as serde::de::Visitor>::expecting
        8 (0.0%)      1 (0.0%)  <serde_json::ser::RawValueStrEmitter<W,F> as serde::ser::Serializer>::serialize_none
        8 (0.0%)      1 (0.0%)  <serde_path_to_error::de::CaptureKey<X> as serde::de::Visitor>::expecting
        8 (0.0%)      1 (0.0%)  <stract_core::api::explore::_::<impl serde::de::Deserialize for stract_core::api::explore::ExploreExportOpticParams>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <stract_core::api::improvement::_::<impl serde::de::Deserialize for stract_core::api::improvement::StoreParams>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <stract_core::api::search::_::<impl serde::de::Deserialize for stract_core::api::search::ApiSearchQuery>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <stract_core::api::sites::_::<impl serde::de::Deserialize for stract_core::api::sites::SitesExportOpticParams>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <stract_core::api::webgraph::host::_::<impl serde::de::Deserialize for stract_core::api::webgraph::host::SimilarSitesParams>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <stract_core::crawler::Site as core::cmp::Ord>::cmp
        8 (0.0%)      1 (0.0%)  <stract_core::crawler::Site as core::cmp::PartialEq>::eq
        8 (0.0%)      1 (0.0%)  <stract_core::crawler::Site as core::hash::Hash>::hash
        8 (0.0%)      1 (0.0%)  <stract_core::metrics::Counter as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <stract_core::ranking::initial::Score as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <tokio::trace::async_trace_leaf::Trace as core::future::future::Future>::poll
        8 (0.0%)      1 (0.0%)  <tower::util::boxed_clone::BoxCloneService<T,U,E> as tower_service::Service<T>>::poll_ready
        8 (0.0%)      1 (0.0%)  <tower::util::service_fn::ServiceFn<T> as tower_service::Service<Request>>::poll_ready
        8 (0.0%)      1 (0.0%)  <tower_http::compression::predicate::DefaultPredicate as tower_http::compression::predicate::Predicate>::should_compress
        8 (0.0%)      1 (0.0%)  <tracing_core::span::Id as core::clone::Clone>::clone
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::filter::env::EnvFilter as tracing_subscriber::layer::Layer<S>>::register_callsite
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::clone_span
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::enabled
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::enter
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::event
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::event_enabled
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::exit
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::new_span
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::register_callsite
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::Subscriber<N,E,F,W> as tracing_core::subscriber::Subscriber>::try_close
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::fmt_layer::Layer<S,N,E,W> as tracing_subscriber::layer::Layer<S>>::on_event::BUF::__getit
        8 (0.0%)      1 (0.0%)  <tracing_subscriber::layer::layered::Layered<L,S> as tracing_core::subscriber::Subscriber>::drop_span
        8 (0.0%)      1 (0.0%)  <uuid::Uuid as core::cmp::PartialEq>::eq
        8 (0.0%)      1 (0.0%)  <webgraph::Node as core::cmp::PartialEq>::eq
        8 (0.0%)      1 (0.0%)  <webgraph::Node as core::cmp::PartialOrd>::partial_cmp
        8 (0.0%)      1 (0.0%)  <webgraph::NodeID as core::cmp::Ord>::cmp
        8 (0.0%)      1 (0.0%)  <webgraph::NodeID as core::cmp::PartialOrd>::partial_cmp
        8 (0.0%)      1 (0.0%)  <webpage::region::_::<impl serde::de::Deserialize for webpage::region::Region>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <webpage::safety_classifier::_::<impl serde::de::Deserialize for webpage::safety_classifier::Datapoint>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  <webpage::safety_classifier::_::<impl serde::de::Deserialize for webpage::safety_classifier::Label>::deserialize::__Field as serde::de::Deserialize>::deserialize
        8 (0.0%)      1 (0.0%)  anyhow::context::<impl core::fmt::Display for anyhow::error::ContextError<C,E>>::fmt
        8 (0.0%)      1 (0.0%)  arc_swap::debt::list::THREAD_HEAD::__getit
        8 (0.0%)      1 (0.0%)  axum::response::sse::Sse<S>::new
        8 (0.0%)      1 (0.0%)  axum::routing::Router<S,B>::call_with_state::{{closure}}
        8 (0.0%)      1 (0.0%)  bytes::bytes_mut::BytesMut::kind
        8 (0.0%)      1 (0.0%)  core::core_arch::arm_shared::neon::generated::vceq_u8
        8 (0.0%)      1 (0.0%)  core::iter::traits::iterator::Iterator::peekable
        8 (0.0%)      1 (0.0%)  core::net::ip_addr::Ipv4Addr::octets
        8 (0.0%)      1 (0.0%)  core::num::<impl u32>::leading_zeros
        8 (0.0%)      1 (0.0%)  core::num::<impl u32>::wrapping_add
        8 (0.0%)      1 (0.0%)  core::num::<impl u32>::wrapping_sub
        8 (0.0%)      1 (0.0%)  core::num::<impl u64>::swap_bytes
        8 (0.0%)      1 (0.0%)  core::num::<impl u64>::wrapping_add
        8 (0.0%)      1 (0.0%)  core::num::<impl u64>::wrapping_mul
        8 (0.0%)      1 (0.0%)  core::num::<impl usize>::wrapping_add
        8 (0.0%)      1 (0.0%)  core::num::<impl usize>::wrapping_sub
        8 (0.0%)      1 (0.0%)  core::num::nonzero::NonZeroU64::new_unchecked
        8 (0.0%)      1 (0.0%)  core::ptr::const_ptr::<impl *const T>::add
        8 (0.0%)      1 (0.0%)  core::ptr::eq
        8 (0.0%)      1 (0.0%)  core::slice::<impl [T]>::is_empty
        8 (0.0%)      1 (0.0%)  core::slice::ascii::<impl [u8]>::is_ascii
        8 (0.0%)      1 (0.0%)  core::str::<impl str>::len
        8 (0.0%)      1 (0.0%)  core::sync::atomic::AtomicBool::get_mut
        8 (0.0%)      1 (0.0%)  csv::byte_record::Position::set_byte
        8 (0.0%)      1 (0.0%)  csv::string_record::StringRecord::clone_truncated
        8 (0.0%)      1 (0.0%)  csv::string_record::StringRecord::deserialize
        8 (0.0%)      1 (0.0%)  csv::writer::WriterBuilder::from_writer
        8 (0.0%)      1 (0.0%)  fst::bytes::pack_uint::{{closure}}
        8 (0.0%)      1 (0.0%)  futures_util::future::future::FutureExt::fuse
        8 (0.0%)      1 (0.0%)  futures_util::stream::select::select
        8 (0.0%)      1 (0.0%)  futures_util::stream::stream::StreamExt::buffer_unordered
        8 (0.0%)      1 (0.0%)  h2::codec::Codec<T,B>::set_max_recv_frame_size
        8 (0.0%)      1 (0.0%)  h2::codec::Codec<T,B>::set_max_recv_header_list_size
        8 (0.0%)      1 (0.0%)  h2::proto::go_away::GoAway::send_pending_go_away::{{closure}}
        8 (0.0%)      1 (0.0%)  h2::server::Connection<T,B>::abrupt_shutdown
        8 (0.0%)      1 (0.0%)  h2::server::SendResponse<B>::send_reset
        8 (0.0%)      1 (0.0%)  hashbrown::raw::inner::neon::Group::load
        8 (0.0%)      1 (0.0%)  http::response::Builder::body
        8 (0.0%)      1 (0.0%)  http::response::Builder::body::{{closure}}
        8 (0.0%)      1 (0.0%)  hyper::body::body::Body::empty
        8 (0.0%)      1 (0.0%)  hyper::proto::h1::conn::Conn<I,B,T>::set_max_buf_size
        8 (0.0%)      1 (0.0%)  hyper::proto::h1::io::Buffered<T,B>::can_headers_buf
        8 (0.0%)      1 (0.0%)  hyperloglog::HyperLogLog<_>::clear::{{closure}}
        8 (0.0%)      1 (0.0%)  log::MetadataBuilder::level
        8 (0.0%)      1 (0.0%)  quick_xml::events::attributes::Attribute::decode_and_unescape_value
        8 (0.0%)      1 (0.0%)  quick_xml::reader::buffered_reader::<impl quick_xml::reader::Reader<R>>::read_event_into
        8 (0.0%)      1 (0.0%)  rand::distributions::integer::<impl rand::distributions::distribution::Distribution<u32> for rand::distributions::Standard>::sample
        8 (0.0%)      1 (0.0%)  rand::distributions::integer::<impl rand::distributions::distribution::Distribution<usize> for rand::distributions::Standard>::sample
        8 (0.0%)      1 (0.0%)  scylla::transport::iterator::SingleConnectionRowIteratorWorker<Fetcher>::do_work
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::begin_array
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::begin_object
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::begin_object_value
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::begin_string
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::end_array
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::end_object
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::end_string
        8 (0.0%)      1 (0.0%)  serde_json::ser::Formatter::write_null
        8 (0.0%)      1 (0.0%)  smallvec::SmallVec<A>::capacity
        8 (0.0%)      1 (0.0%)  smallvec::SmallVec<A>::len
        8 (0.0%)      1 (0.0%)  smallvec::SmallVec<A>::spilled
        8 (0.0%)      1 (0.0%)  std::collections::hash::map::RandomState::new::KEYS::__getit
        8 (0.0%)      1 (0.0%)  std::f64::<impl f64>::abs
        8 (0.0%)      1 (0.0%)  std::f64::<impl f64>::trunc
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::ApiConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CrawlCoordinatorConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CrawlRouterConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::CrawlerConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::IndexingLocalConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::SearchServerConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::WebgraphConstructConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::config::_::<impl serde::de::Deserialize for stract_core::config::WebgraphServerConfig>::deserialize
        8 (0.0%)      1 (0.0%)  stract_core::entrypoint::crawler::router::service_impl__::<impl stract_core::entrypoint::crawler::router::RouterService>::bind
        8 (0.0%)      1 (0.0%)  stract_core::entrypoint::search_server::service_impl__::<impl stract_core::entrypoint::search_server::SearchService>::bind
        8 (0.0%)      1 (0.0%)  stract_core::entrypoint::webgraph_server::service_impl__::<impl stract_core::entrypoint::webgraph_server::WebGraphService>::bind
        8 (0.0%)      1 (0.0%)  stract_core::searcher::api::ApiSearcher::stackoverflow_sidebar::{{closure}}::{{closure}}::{{closure}}
        8 (0.0%)      1 (0.0%)  stract_core::widgets::thesaurus::_::<impl serde::ser::Serialize for stract_core::widgets::thesaurus::Example>::serialize
        8 (0.0%)      1 (0.0%)  tokio::io::read_buf::ReadBuf::capacity
        8 (0.0%)      1 (0.0%)  tokio::sync::mpsc::chan::Tx<T,S>::closed
        8 (0.0%)      1 (0.0%)  tokio::sync::mpsc::unbounded::UnboundedReceiver<T>::poll_recv
        8 (0.0%)      1 (0.0%)  tokio::trace::trace_leaf
        8 (0.0%)      1 (0.0%)  tokio_util::sync::reusable_box::CallOnDrop<O,F>::new
        8 (0.0%)      1 (0.0%)  tracing::span::Span::enter
        8 (0.0%)      1 (0.0%)  tracing_core::dispatcher::CURRENT_STATE::__getit
        8 (0.0%)      1 (0.0%)  tracing_core::field::FieldSet::len
        8 (0.0%)      1 (0.0%)  utoipa::openapi::_::<impl serde::ser::Serialize for utoipa::openapi::OpenApiVersion>::serialize
        7 (0.0%)      1 (0.0%)  <! as core::fmt::Debug>::fmt
        7 (0.0%)      1 (0.0%)  <&csv::string_record::StringRecord as core::iter::traits::collect::IntoIterator>::into_iter
        7 (0.0%)      1 (0.0%)  <&mut bincode::ser::Serializer<W,O> as serde::ser::Serializer>::serialize_unit
        7 (0.0%)      1 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_f64
        7 (0.0%)      1 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_u16
        7 (0.0%)      1 (0.0%)  <&mut serde_json::de::Deserializer<R> as serde::de::Deserializer>::deserialize_u8
        7 (0.0%)      1 (0.0%)  <&serde_json::map::Map<alloc::string::String,serde_json::value::Value> as core::iter::traits::collect::IntoIterator>::into_iter
        7 (0.0%)      1 (0.0%)  <alloc::collections::binary_heap::BinaryHeap<T,A> as core::iter::traits::collect::IntoIterator>::into_iter
        7 (0.0%)      1 (0.0%)  <axum::extract::connect_info::ConnectInfo<T> as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <axum::extract::path::Path<T> as axum_core::extract::FromRequestParts<S>>::from_request_parts::{{closure}}::{{closure}}
        7 (0.0%)      1 (0.0%)  <axum::response::sse::Body<S> as http_body::Body>::poll_data::{{closure}}
        7 (0.0%)      1 (0.0%)  <bincode::config::trailing::AllowTrailing as bincode::config::trailing::TrailingBytes>::check_end
        7 (0.0%)      1 (0.0%)  <bincode::ser::Compound<W,O> as serde::ser::SerializeMap>::end
        7 (0.0%)      1 (0.0%)  <bincode::ser::SizeCompound<O> as serde::ser::SerializeMap>::end
        7 (0.0%)      1 (0.0%)  <bincode::ser::SizeCompound<O> as serde::ser::SerializeSeq>::end
        7 (0.0%)      1 (0.0%)  <bincode::ser::SizeCompound<O> as serde::ser::SerializeStruct>::end
        7 (0.0%)      1 (0.0%)  <core::fmt::Arguments as alloc::string::ToString>::to_string
        7 (0.0%)      1 (0.0%)  <core::iter::adapters::copied::Copied<I> as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <core::iter::adapters::flatten::Flatten<I> as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <core::iter::sources::from_fn::FromFn<F> as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <core::option::Option<T> as core::iter::traits::accum::Sum<core::option::Option<U>>>::sum::{{closure}}
        7 (0.0%)      1 (0.0%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
        7 (0.0%)      1 (0.0%)  <core::result::Result<V,E> as core::iter::traits::collect::FromIterator<core::result::Result<A,E>>>::from_iter::{{closure}}
        7 (0.0%)      1 (0.0%)  <csv::deserializer::DeStringRecord as csv::deserializer::DeRecord>::next_field_bytes
        7 (0.0%)      1 (0.0%)  <fst::error::Error as core::convert::From<std::io::error::Error>>::from
        7 (0.0%)      1 (0.0%)  <futures_util::fns::MapErrFn<F> as futures_util::fns::FnOnce1<core::result::Result<T,E>>>::call_once::{{closure}}
        7 (0.0%)      1 (0.0%)  <h2::proto::connection::Connection<T,P,B> as core::ops::drop::Drop>::drop
        7 (0.0%)      1 (0.0%)  <http::byte_str::ByteStr as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <http::method::Method as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <http::uri::authority::Authority as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <http::uri::scheme::Scheme as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <hyper::proto::h1::decode::Decoder as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <lock_api::rwlock::RwLockWriteGuard<R,T> as core::ops::deref::DerefMut>::deref_mut
        7 (0.0%)      1 (0.0%)  <rand::rngs::small::SmallRng as rand_core::SeedableRng>::from_rng
        7 (0.0%)      1 (0.0%)  <rand::rngs::xoshiro256plusplus::Xoshiro256PlusPlus as rand_core::RngCore>::next_u32
        7 (0.0%)      1 (0.0%)  <scylla::transport::iterator::checked_channel_sender::ProvingSender<T> as core::convert::From<tokio::sync::mpsc::bounded::Sender<T>>>::from
        7 (0.0%)      1 (0.0%)  <scylla::transport::session::TypedRowIter<RowT> as core::iter::traits::iterator::Iterator>::next
        7 (0.0%)      1 (0.0%)  <serde::__private::ser::FlatMapSerializeMap<M> as serde::ser::SerializeMap>::end
        7 (0.0%)      1 (0.0%)  <serde::__private::ser::FlatMapSerializeStruct<M> as serde::ser::SerializeStruct>::end
        7 (0.0%)      1 (0.0%)  <serde::de::value::SeqAccessDeserializer<A> as serde::de::Deserializer>::deserialize_any
        7 (0.0%)      1 (0.0%)  <serde::de::value::StringDeserializer<E> as serde::de::EnumAccess>::variant_seed
        7 (0.0%)      1 (0.0%)  <serde::de::value::U64Deserializer<E> as serde::de::Deserializer>::deserialize_any
        7 (0.0%)      1 (0.0%)  <serde::de::value::U64Deserializer<E> as serde::de::Deserializer>::deserialize_u64
        7 (0.0%)      1 (0.0%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_bool
        7 (0.0%)      1 (0.0%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_f32
        7 (0.0%)      1 (0.0%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_f64
        7 (0.0%)      1 (0.0%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_ignored_any
        7 (0.0%)      1 (0.0%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_string
        7 (0.0%)      1 (0.0%)  <serde::de::value::UsizeDeserializer<E> as serde::de::Deserializer>::deserialize_u8
        7 (0.0%)      1 (0.0%)  <serde_json::de::UnitVariantAccess<R> as serde::de::VariantAccess>::unit_variant
        7 (0.0%)      1 (0.0%)  <serde_json::map::Map<alloc::string::String,serde_json::value::Value> as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <serde_json::number::Number as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <stract::Args as clap_builder::derive::CommandFactory>::command
        7 (0.0%)      1 (0.0%)  <stract_core::config::WidgetsConfig as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <stract_core::crawler::Site as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tokio::sync::mutex::MutexGuard<T> as core::ops::deref::Deref>::deref
        7 (0.0%)      1 (0.0%)  <toml_edit::de::Error as serde::de::Error>::custom
        7 (0.0%)      1 (0.0%)  <tower_http::compression::predicate::DefaultPredicate as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::compression_utils::AcceptEncoding as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::allow_credentials::AllowCredentials as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::allow_headers::AllowHeaders as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::allow_methods::AllowMethods as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::allow_origin::AllowOrigin as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::allow_private_network::AllowPrivateNetwork as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::expose_headers::ExposeHeaders as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::max_age::MaxAge as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tower_http::cors::vary::Vary as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tracing_core::dispatcher::Dispatch as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <tracing_subscriber::fmt::format::Format<tracing_subscriber::fmt::format::Full,T> as tracing_subscriber::fmt::format::FormatEvent<S,N>>::format_event::{{closure}}
        7 (0.0%)      1 (0.0%)  <utoipa::openapi::path::Paths as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <utoipa::openapi::response::Responses as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <utoipa::openapi::schema::Ref as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <utoipa::openapi::security::Scopes as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <utoipa::openapi::security::SecurityRequirement as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  <webgraph::Node as core::clone::Clone>::clone
        7 (0.0%)      1 (0.0%)  async_compression::tokio::bufread::generic::encoder::Encoder<R,E>::get_pin_mut
        7 (0.0%)      1 (0.0%)  bincode::config::int::IntEncoding::deserialize_len
        7 (0.0%)      1 (0.0%)  bytes::bytes::Bytes::is_empty
        7 (0.0%)      1 (0.0%)  bytes::bytes_mut::BytesMut::is_empty
        7 (0.0%)      1 (0.0%)  bytes::bytes_mut::BytesMut::with_capacity
        7 (0.0%)      1 (0.0%)  core::f64::<impl f64>::is_infinite
        7 (0.0%)      1 (0.0%)  core::iter::traits::iterator::Iterator::max_by::fold::{{closure}}
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<(hyper::proto::MessageHead<http::status::StatusCode>,http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>),core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<axum::extension::AddExtension<axum::routing::Router,axum::extract::connect_info::ConnectInfo<core::net::socket_addr::SocketAddr>>,core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<axum::extract::state::State<alloc::sync::Arc<stract_core::api::State>>,core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<axum::routing::Router,core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<core::option::Option<axum::extract::path::Path<alloc::string::String>>,core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<http::request::Request<hyper::body::body::Body>,core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::ptr::drop_in_place<core::result::Result<http::response::Response<tower_http::compression::body::CompressionBody<http_body::combinators::box_body::UnsyncBoxBody<bytes::bytes::Bytes,axum_core::error::Error>>>,core::convert::Infallible>>
        7 (0.0%)      1 (0.0%)  core::slice::<impl [T]>::as_ptr
        7 (0.0%)      1 (0.0%)  core::task::wake::Context::from_waker
        7 (0.0%)      1 (0.0%)  flate2::gz::bufread::MultiGzDecoder<R>::new
        7 (0.0%)      1 (0.0%)  flate2::gz::read::MultiGzDecoder<R>::new
        7 (0.0%)      1 (0.0%)  futures_util::stream::stream::fuse::Fuse<St>::is_done
